insertion, quick, natmg, heap
0.0000014,0.0000034,0.000007,0.0000076
0.0000046,0.000011,0.0000198,0.0000206
0.0000128,0.000027,0.0000488,0.000051
0.000027,0.000053,0.0000972,0.000095
0.0000528,0.000095,0.000167,0.0001572
0.0000724,0.0001402,0.0002476,0.000238
0.0001156,0.0002362,0.0004216,0.0004164
0.0002088,0.000446,0.000794,0.0007902
0.0003578,0.0007778,0.0013882,0.0013752
0.000555,0.0012154,0.0022294,0.002184
0.000792,0.0017688,0.0032554,0.0032606
0.0012472,0.0028652,0.0053696,0.0054598
0.0026808,0.0064028,0.0127964,0.0128262
0.0050466,0.0125686,0.0252044,0.0259178
0.0096762,0.0253492,0.0516552,0.0534732
