insertion, quick, natmg, heap
0.0000008,0.0000024,0.0000028,0.0000058
0.000002,0.0000086,0.000004,0.0000184
0.0000046,0.0000192,0.0000072,0.0000482
0.0000088,0.000035,0.0000092,0.0000914
0.000014,0.0000584,0.0000128,0.0001522
0.000021,0.0000862,0.0000164,0.0002292
0.000035,0.0001384,0.0000244,0.0003988
0.0000638,0.0002504,0.0000394,0.0007582
0.0001072,0.0004558,0.0000632,0.0013204
0.0001658,0.0006982,0.0001106,0.0021088
0.0002388,0.0010254,0.000146,0.0030916
0.0003806,0.0017092,0.0002208,0.0052166
0.0008016,0.0038844,0.0004612,0.012365
0.0015146,0.0079338,0.0007998,0.0248192
0.002934,0.016314,0.0015386,0.0511954
